region,site_name,lawa_site_id,indicator,year,days_measured,exceed_who_daily,exceed_nes_daily
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2022,345,0,0.0
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2023,360,0,0.0
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2024,357,0,0.0
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM2.5,2023,48,0,
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM2.5,2024,362,0,
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2016,182,4,3.0
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2017,364,21,14.0
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2018,343,6,3.0
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2019,357,5,4.0
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2020,352,1,1.0
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2021,364,1,0.0
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2022,334,0,0.0
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2023,360,0,0.0
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2024,360,0,0.0
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2016,316,53,
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2017,359,86,
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2018,330,60,
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2019,357,58,
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2020,352,43,
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2021,364,46,
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2022,334,31,
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2023,360,29,
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2024,360,40,
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2018,262,4,3.0
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2019,317,0,0.0
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2020,192,0,0.0
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2021,363,0,0.0
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2022,354,1,1.0
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2023,353,0,0.0
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2024,316,0,0.0
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM2.5,2020,106,7,
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM2.5,2021,361,26,
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM2.5,2022,364,26,
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM2.5,2023,364,40,
