region,site_name,lawa_site_id,indicator,year,mean_ugm3,days_measured,first_date,last_date,pct_coverage
Auckland,Takapuna,LAWA-100124,PM10,2017,13.065325077399383,323,2017-01-01 00:00:00,2017-12-31 00:00:00,88.5
Auckland,Takapuna,LAWA-100124,PM10,2018,13.917127071823204,362,2018-01-01 00:00:00,2018-12-31 00:00:00,99.2
Auckland,Takapuna,LAWA-100124,PM10,2019,13.761602209944751,362,2019-01-01 00:00:00,2019-12-31 00:00:00,99.2
Auckland,Takapuna,LAWA-100124,PM10,2020,11.359726027397262,365,2020-01-01 00:00:00,2020-12-31 00:00:00,100.0
Auckland,Takapuna,LAWA-100124,PM10,2021,11.435694050991502,353,2021-01-01 00:00:00,2021-12-31 00:00:00,96.7
Auckland,Takapuna,LAWA-100124,PM10,2022,12.486740331491712,362,2022-01-01 00:00:00,2022-12-31 00:00:00,99.2
Auckland,Takapuna,LAWA-100124,PM10,2023,12.770395136778115,329,2023-01-01 00:00:00,2023-12-31 00:00:00,90.1
Auckland,Takapuna,LAWA-100124,PM10,2024,15.513736263736265,364,2024-01-01 00:00:00,2024-12-31 00:00:00,99.7
Auckland,Takapuna,LAWA-100124,PM2.5,2016,6.375988700564972,354,2016-01-01 00:00:00,2016-12-31 00:00:00,97.0
Auckland,Takapuna,LAWA-100124,PM2.5,2017,6.263763066202091,287,2017-01-01 00:00:00,2017-12-31 00:00:00,78.6
Auckland,Takapuna,LAWA-100124,PM2.5,2018,7.196646341463414,328,2018-01-01 00:00:00,2018-12-31 00:00:00,89.9
Auckland,Takapuna,LAWA-100124,PM2.5,2019,7.188154269972452,363,2019-01-01 00:00:00,2019-12-31 00:00:00,99.5
Auckland,Takapuna,LAWA-100124,PM2.5,2020,5.984419263456091,353,2020-01-01 00:00:00,2020-12-31 00:00:00,96.7
Auckland,Takapuna,LAWA-100124,PM2.5,2021,6.417307692307692,312,2021-01-01 00:00:00,2021-12-31 00:00:00,85.5
Auckland,Takapuna,LAWA-100124,PM2.5,2022,6.337988826815643,358,2022-01-01 00:00:00,2022-12-31 00:00:00,98.1
Auckland,Takapuna,LAWA-100124,PM2.5,2023,6.904917177914111,326,2023-01-01 00:00:00,2023-12-31 00:00:00,89.3
Auckland,Takapuna,LAWA-100124,PM2.5,2024,6.396716417910448,335,2024-01-01 00:00:00,2024-12-31 00:00:00,91.8
Bay of Plenty,Mount Maunganui at Bridge Marina Entrance,LAWA-103979 ,PM10,2024,11.875522727272728,88,2024-10-04 01:00:00,2024-12-31 01:00:00,24.1
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2018,28.337575757575756,66,2018-10-27 01:00:00,2018-12-31 01:00:00,18.1
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2019,30.504289325842695,356,2019-01-01 01:00:00,2019-12-31 01:00:00,97.5
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2020,23.487441011235955,356,2020-01-01 01:00:00,2020-12-31 01:00:00,97.5
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2021,24.416820728291317,357,2021-01-01 01:00:00,2021-12-31 01:00:00,97.8
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2022,22.809222527472528,364,2022-01-01 01:00:00,2022-12-31 01:00:00,99.7
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2023,21.673884615384615,26,2023-01-01 01:00:00,2023-01-26 01:00:00,7.1
Bay of Plenty,Mount Maunganui at Ranch Rd,LAWA-103977,PM10,2024,18.612733128834357,326,2024-02-03 01:00:00,2024-12-31 01:00:00,89.3
Bay of Plenty,Mount Maunganui at Ranch Rd,LAWA-103977,PM2.5,2024,5.5003,320,2024-02-03 01:00:00,2024-12-31 01:00:00,87.7
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2018,15.776944444444446,18,2018-12-14 01:00:00,2018-12-31 01:00:00,4.9
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2019,20.32412,350,2019-01-01 01:00:00,2019-12-31 01:00:00,95.9
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2020,17.981886111111113,360,2020-01-01 01:00:00,2020-12-31 01:00:00,98.6
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2021,19.280707988980716,363,2021-01-01 01:00:00,2021-12-31 01:00:00,99.5
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2022,21.13437912087912,364,2022-01-01 01:00:00,2022-12-31 01:00:00,99.7
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2023,19.66664109589041,365,2023-01-01 01:00:00,2023-12-31 01:00:00,100.0
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2024,17.91059943977591,357,2024-01-01 01:00:00,2024-12-31 01:00:00,97.8
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM2.5,2024,5.996414634146341,123,2024-08-31 00:00:00,2024-12-31 01:00:00,33.7
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2018,14.40804054054054,148,2018-08-04 00:00:00,2018-12-30 01:00:00,40.5
